irz,r_wo_FGmarg,r_w_FGmarg,r_SOonly_wo_FGmarg,r_SOonly_w_FGmarg
1.0,-0.00264348670843148,-0.0016803718573539738,-0.0023773094920716293,-0.0026504004441706727
2.0,-0.001689159628992629,-0.004246140375843847,-0.001129778053756293,-0.00450838979520841
3.0,-0.001546072589023042,-0.0015810006199468006,-0.0010614519746328143,-0.0005085478626030325
4.0,-0.00380995008345573,-0.010462140318903839,-0.003391218442977023,-0.010780285220350527
5.0,9.601244424439193e-5,-0.0076701685274912215,0.0008332641157652261,-0.006643250696748662
6.0,-0.0007134151876355195,-0.0016225297560213733,0.00039144964732066955,0.0013248497191167166
7.0,0.0024276101423608347,-0.005529993695087114,0.004389773076930439,-0.0037158236740056825
8.0,-0.003568327509779754,-0.0014979685276378751,-0.0030146854957607138,0.00010346191890269996
9.0,1.1300620860617688e-5,0.006369412745409451,0.0005016239396370449,0.0062036632591207395
10.0,0.000354987452403354,0.0010206642789226885,0.0004840741580907264,0.0016524898477257913
11.0,-0.00312027884402709,0.0012502342036963628,-0.0025237544866975724,0.001403073302659246
12.0,-0.00032142627218960466,0.00020900242615721037,5.8621202815535545e-5,-0.00014790194852770243
13.0,-0.00034560598181233404,0.0014707975311360377,4.712018923507673e-5,0.0022424227441025387
14.0,-0.004446123109687017,0.0013493688764589695,-0.0036970576437005513,0.0019560824739166395
15.0,-0.002509833877344924,-0.0033660009118471135,-0.001288326173137993,-0.002583905974479687
16.0,-0.0024485698261013746,-0.004757728258240225,-0.001638219594883265,-0.0034345396233214603
17.0,-0.002450186373373998,-0.003118524895376351,-0.0017388681972397527,-0.0037621928317565193
18.0,0.0007739835382758736,0.002652198978711831,0.001841292022692442,0.003951974027635555
19.0,-0.0023909428603334825,0.0019199044323694294,-0.0020050406788071195,0.0016234522359277266
20.0,0.002028565743976839,0.0004668790692537994,0.0026288997938689776,0.0012420190118241172
21.0,-0.0008610531038407461,-0.009387500524643749,0.00035465942275801393,-0.009126414907563114
22.0,0.0026818863328102066,0.0009924243274150723,0.003881552349698282,0.0013740236811042089
