irz,r_wo_FGmarg,r_w_FGmarg
1.0,0.0032795339230639077,-0.003219079907588475
2.0,0.0025019571828178893,0.0038648788830114656
3.0,0.005541346812430353,-0.0004805406466349349
4.0,-0.0019993546087128484,-0.005365749859175275
5.0,0.002194362594272166,-0.0005129321358698623
6.0,0.0009107466597502848,-0.002660383264842306
7.0,0.0013277746431336083,0.0008519891015733608
8.0,0.004439187186673328,0.0032156760341396106
9.0,0.003303228601358239,0.004016755083818936
10.0,7.568899202258747e-5,-0.0002877400020005879
11.0,0.0017651853517000162,-0.0012452889564697122
12.0,0.0035508949420974554,-0.0028323621203331967
13.0,0.0016001761113493616,-0.00048120752480509054
14.0,0.0036457174923112687,0.005111845840311924
15.0,-0.0003577920715945227,-0.003395124327912346
16.0,0.0034589517755307863,0.0027353866334896356
17.0,0.0051856459163752665,0.0030865418744063402
18.0,0.002929781872776915,-0.0012908115858149148
19.0,0.0021033808376936876,-0.0028441921280742966
20.0,0.004484322793102515,0.004680066670772997
21.0,0.002841567723827834,0.0036021059503677645
22.0,0.0015275556656138424,-0.0007076407155349422
23.0,-0.0004638361038339952,-0.002504018201109306
24.0,-0.0010890188436224637,-0.007004188105423512
25.0,0.0024283676728179752,-0.0012956806886890867
26.0,-0.001436048032871426,-0.005534033698280347
27.0,0.0026124522120647004,-0.00042492809640208015
28.0,0.005960831929072411,-0.0052546239814993505
29.0,0.0018431667764805444,-0.0006020397351194981
30.0,0.0011981269675949043,-0.0025117040815805206
31.0,0.0013191162820943814,-0.0031219461680669653
32.0,0.004977123843256715,-0.0027072825676182238
33.0,0.003305554465110017,0.0009417242007948687
34.0,0.004554831594667676,-0.00016532733147072353
35.0,0.003028366722002941,-0.0025725388261390266
36.0,0.0010117507191880776,-0.0017195529540906505
37.0,0.002546113685119743,0.0003138777110854021
38.0,0.0019606688175430277,-0.0010978749016108329
39.0,0.0016717784099016925,0.0002478952390677254
40.0,0.0028890393897700517,-0.0010972887082739437
41.0,0.0006268097150643494,-0.0031755966726973533
42.0,0.0009801050076389166,-0.003207651078381505
43.0,0.0010492934370021684,-0.0026067003943664848
44.0,0.0017402050184867402,-0.0019508674439448874
45.0,0.002962151533147504,0.0011570277738321235
46.0,0.0031790999322624113,-0.001552072255629969
47.0,0.0012625534700398738,-0.002078421227438535
48.0,0.003091604328144773,0.0017687553781619598
49.0,0.003429572968982831,-0.0005241278745042702
50.0,0.002598061225673206,0.0020283252339299727
51.0,0.001198403440982026,-0.001759335557987728
52.0,-0.00018723228558206826,-0.0017196618402764562
53.0,0.004027959509741866,0.0004444065081939304
54.0,0.001393153543939958,-0.001914445305830805
55.0,0.0010499199480884557,-0.004315525448589345
56.0,0.0031793298361952192,-0.0047519178844167105
57.0,0.0028993428886528363,-0.0023745176562996136
58.0,-0.00043600570407203683,-0.0012332680694504155
59.0,0.0010374215786500183,-0.002890147356358407
60.0,0.003333551602407704,0.003409756194119656
61.0,0.004331618785548158,0.0037360818837445507
62.0,0.0017906627318690423,-0.0013406578464746893
63.0,0.003405137626834397,-0.004498639858414978
64.0,0.000878758122153719,-0.0011706392378541116
65.0,-0.0011314836193237609,-0.005138461016238524
66.0,0.0063867644182664315,0.0020213857901919207
