irz,beta_s,beta_d,T_d
1.0,-3.145308423872669,1.577124771060232,20.40015294436126
2.0,-3.059009100598554,1.5563061850929707,20.385298188523144
3.0,-3.1126975022590093,1.5146427703546301,23.628631413186785
4.0,-3.1546619509703566,1.562794280305866,20.123374793789914
5.0,-2.9398581112313815,1.5783834858396972,19.37916137123303
6.0,-3.0455200288578608,1.5054347365803062,22.268631430868698
7.0,-2.8099925354494517,1.570339860771519,19.458902385545777
8.0,-2.996171587341291,1.5315076348906687,21.99713610810914
9.0,-3.0437080927041955,1.5416332868669873,23.04797939917562
10.0,-2.9206360542851195,1.5437407655403934,20.61029001077397
11.0,-3.118044220044004,1.539544254863909,20.377125395124764
12.0,-3.012092468431086,1.570377493537185,20.625438509031405
13.0,-2.98945986744062,1.5547620898232797,21.341040029575982
14.0,-3.222400603761682,1.5624337573820193,20.443344263468948
15.0,-3.012269062879911,1.7284063514516936,15.104704071197638
16.0,-2.9909730512819284,1.486473696214131,23.80921308408478
17.0,-3.005566112039095,1.540976526193246,20.979831710864207
18.0,-2.9356561882132777,1.5805649123937804,20.404602326462637
19.0,-3.045081429200909,1.5926551358261496,18.67110844811139
20.0,-2.9744125342694385,1.5832606155750724,18.607890983651075
21.0,-2.9103722260527913,1.543686646283651,21.85986708930423
22.0,-2.9806481757373318,1.5344439070160334,21.445460512928243
23.0,-2.971387972695846,1.5360293042344033,21.12594057539944
24.0,-2.881162067674357,1.5867358909505023,22.458444583229383
25.0,-2.9010643757256904,1.5687618618325314,21.054968011133617
26.0,-2.956356925891094,1.5930152373581654,19.18631772514952
27.0,-2.9598152321762337,1.682504586097549,16.521575728416472
28.0,-2.9497497173362537,1.5871181341561793,19.549508770874056
29.0,-2.9486310989357656,1.5692009640131845,20.603468809346815
30.0,-3.0364341981253085,1.546084410971155,22.66537086915864
31.0,-2.8720947442797318,1.525578181590091,22.36377677974707
32.0,-2.8876443461992563,1.5892682628405403,19.802467271349546
33.0,-3.199261896259049,1.5610340542542587,19.816464521782525
34.0,-3.0806518694699943,1.594197407751244,19.723852744131833
35.0,-2.986122456624124,1.5918578129451908,20.35903328187104
36.0,-3.0167721504698735,1.619343947676135,18.398264492099024
37.0,-3.0654378482240845,1.5404969958730528,21.122212587642057
38.0,-2.864210770620958,1.6855466857877783,16.296041061292314
39.0,-3.0690581231036598,1.5956586470278142,18.827630725449175
40.0,-2.8656651277434477,1.5858917840135227,20.09371868860215
41.0,-3.054753047740715,1.536165647896417,23.413762723697488
42.0,-2.9482014493135207,1.634607043526628,20.356567300365384
