irz,r_wo_FGmarg,r_w_FGmarg
1.0,0.0009984934344767953,0.0019826242808153693
2.0,0.0013802905833810914,-0.003539291144027224
3.0,0.002300852709166151,0.001554938394070141
4.0,0.000542464743809951,-0.006617143646849564
5.0,0.001572542452055333,-0.005917031446682968
6.0,0.0028104087100885174,0.00023526787930934048
7.0,0.0005365531079510681,-0.0007163686199266228
8.0,-0.0014770218603466561,-0.009253267172133805
9.0,0.002389691246683197,-0.0005806205371387464
10.0,0.0008716032121822652,0.000616429700762392
11.0,0.0007128308676154774,-0.00853993991055603
12.0,0.002027092378430967,0.002531305597037901
13.0,0.0012986501331536124,0.00029381461985500623
14.0,0.0012463911242508673,-0.0011997867511054
15.0,0.0014252080912210766,-0.007104634400550368
16.0,-0.0005760797494366709,0.0008143162409107201
17.0,-0.0010796453416752217,-0.0036051418798314634
18.0,0.0018835768101074415,-0.0022968542693682092
19.0,0.001132303797206213,-0.002976139678388963
20.0,0.0026051342516573207,0.00033632426412344587
21.0,-0.0011167232309074106,-0.0029808040577662272
22.0,0.0038482239122285228,0.004313595046870937
23.0,0.0006831022592894735,-0.0020674355285354843
24.0,0.0017449592427364055,0.0025309788030468956
25.0,0.0020040828377419417,-0.0008113997656499014
26.0,0.0006321880351640782,-0.004874279053869249
27.0,0.005594395496071686,0.00343635556733634
28.0,0.00315678136870034,-0.004371997294467703
29.0,0.0012232495730257929,-5.066413132306313e-6
30.0,-0.0003937384364925911,-0.002223706799042364
31.0,0.0008447818421076034,-0.00014596603508246875
32.0,0.0017875747435713437,-0.002509100128507535
33.0,0.0009985746596223326,-0.002785701044859579
34.0,0.001994921029602594,-0.001660513996957959
35.0,0.0028871095519466755,-0.0019305597556650237
36.0,0.0026467717725777496,-0.001415910060520151
37.0,0.005005430905506138,0.0041442364874116205
38.0,-0.0003837636120998282,-0.0013558073598938082
39.0,0.0020007854964311186,-0.0003693856951603658
40.0,-0.00036267262309332094,-0.008090570155277423
41.0,0.0024481827982176067,-0.0010517831766852352
42.0,0.0009002067257507435,-0.0008007852217274352
43.0,0.002358300851920941,-0.0013114033129411435
44.0,0.002155413429772626,0.00252484056423468
45.0,-0.000236026892851117,-0.004028664107839547
46.0,0.002533505409678641,0.00015127439622169593
47.0,0.003583835188683956,-0.0010901360777112467
48.0,0.003845353377530713,0.0012771874677697773
49.0,0.0028511828803770927,0.0008140511424659727
50.0,0.0034261748814915865,0.0018216386502849459
51.0,0.0015782290238246029,-0.004117510449236955
52.0,0.003312324541263749,0.0034704494648933274
53.0,0.0018436474572474273,-0.005238278358546796
54.0,-4.623697413460306e-5,0.001546967873281546
55.0,0.0008577174993870382,-0.005858927496724167
56.0,0.0001266046207302046,0.002701726030958012
57.0,0.003186958714326424,-0.0012718165337811248
58.0,0.00295487711324855,-0.00011088190227823769
59.0,0.0035282275565152975,0.0003407245048075246
60.0,0.0057945901895776935,0.002656272564092318
61.0,0.0013854204213620506,-0.0025815803382381597
62.0,0.0005933809507052168,3.493738375214852e-5
63.0,0.0033355401092904596,0.0007719552693521935
64.0,0.005255642454549818,0.0031756310564186718
65.0,0.000937650212361642,-0.0019386174392252743
66.0,0.0020604964535190303,-0.00043996674045103905
67.0,-6.731699761240992e-5,-0.0008839741074246891
68.0,0.000468733317169621,-0.0023255443649712027
69.0,0.0008036583077950378,-0.0012539091252095587
70.0,0.005142815474322936,0.0007304125273072045
71.0,0.001656556672923238,0.0031889545778793224
72.0,0.001049952328694057,-0.0013157852077494616
73.0,0.0008411270051383808,-0.002005160805748623
74.0,0.003755066829949376,0.0032380692557341184
75.0,0.0009750825984309325,-0.0005128679807511116
76.0,0.0037286347280029624,0.003875492792408482
77.0,0.004290264569410966,-0.00269307074016526
78.0,0.0006416374222383247,-0.00668200546508053
79.0,0.002917533036184775,-0.0046489465853313105
80.0,-9.833371963441714e-5,-0.006504259163397905
81.0,0.0034460851952211585,0.0035205229818000114
82.0,0.0017682274219009899,-0.003901074818612965
83.0,-0.0008392797316137705,-0.00029750772697033665
84.0,0.0034979100823288,0.0010595228552675742
85.0,0.002972241616441224,4.670535833739084e-5
86.0,0.0005606294493995917,-0.0035341291626875774
87.0,-0.000543891211553935,0.000679996098814386
88.0,0.0010100967420791304,0.0008759310530710958
89.0,0.0012147013978648987,-0.0009850671219150974
90.0,0.0030485138560772253,0.0009319284102394176
91.0,0.006099271440238098,0.003368963697474516
92.0,0.0016361982977353036,5.1987024893159164e-5
93.0,0.0014274346781325128,-0.0017328482895060224
94.0,0.0028817226606280043,0.0034121949216455233
95.0,-0.001476399132519483,-0.0024718272548322853
96.0,0.002649592668794714,-0.0009685028001704265
97.0,0.004140006389813409,0.0023726361299240425
98.0,0.00267544063623361,0.0006053022976484406
99.0,0.004709245460019216,-0.0018971061075915428
100.0,0.002180140844245545,-0.0027667634034884885
101.0,0.004180907456982408,-0.00045132272528606936
102.0,-0.00037052026045955816,-0.007150302603707523
103.0,0.0034206411834923167,0.0004365123663882223
104.0,0.0015190710324566171,0.00040566149103771486
105.0,0.0002687665932838816,-0.0030048604135859336
106.0,0.0011930039485223056,-0.0009884365086554386
107.0,0.0005093860325076554,-0.004109324230254996
108.0,0.000821594221192115,-0.0007690591196621734
109.0,0.0003184170284854726,-0.003998469773103676
110.0,0.0017321226848747413,-0.004040148695318769
111.0,0.003666925451852666,0.0067874006251950345
112.0,0.0026856585153464704,0.0013796996805681228
113.0,0.000626921442585092,0.0023219850593886172
114.0,0.0020111058540206437,-0.003040262661057217
115.0,0.0014332289159072003,0.002843215706183069
116.0,0.002380641516217042,0.0022043355675441527
117.0,0.004021326648393854,0.00019017503333629133
118.0,0.00010776965744010818,-0.004118328021010491
119.0,0.002576318045110692,0.003911649028945298
120.0,0.0017742660325913789,-0.005376406407155677
121.0,0.0021235643506713133,-0.003958665837438585
122.0,0.0016635298254618538,-0.001266308412499168
123.0,0.001989795349369245,-0.001988430787861639
124.0,0.002689320833281964,0.0032319192288525938
125.0,-0.0010962981520254188,6.493807659212772e-5
126.0,0.0014633799350287635,-0.0025558673280281384
127.0,0.002690184566869208,-0.004112974220298644
128.0,0.00406354971953073,0.0011513890784220525
129.0,0.0025357122209123117,-0.0014532369765436449
130.0,-0.0010622046945320703,-0.0010529616006549607
131.0,0.00336390854447543,-0.0008320192369943617
132.0,-0.0013893489307442708,-0.0038014373695320486
133.0,0.0026384629396458362,-0.0024169757045724256
134.0,0.002156285224468913,-0.002136791288125882
135.0,0.006357337728420695,0.004120857856063608
136.0,-0.0007301643752092587,-0.0016393859921461091
137.0,0.003415729465275055,-0.0019096585400615487
138.0,0.0014747603287026544,-0.00430894104365196
139.0,0.0005350137078175833,-0.0016449232481062436
140.0,0.0011973921135048334,-0.0003722325916878778
141.0,0.0031583122111496537,-0.0010972048353836044
142.0,0.001163302539560695,-0.002031510161067057
143.0,0.0016177583707036956,-0.0017591267166032155
144.0,0.0024573325995511383,-8.319601354687903e-5
145.0,4.249947350856629e-6,-0.004935851390161531
146.0,0.002998957634520202,-0.0030296536129526255
147.0,0.002038384497644151,-0.002746310872163921
148.0,0.0005905664652386301,-0.0009134163217829058
149.0,0.0005541937082482983,-0.004223272551082942
150.0,0.0026944942832956356,0.0041545301384921865
151.0,0.0008915664932042063,-0.0012445512206514509
152.0,0.0020442510754059592,0.0005193253985077605
153.0,0.0005597672452482871,-0.0024079384556504966
154.0,-0.0005763418434515181,-0.004051064342879458
155.0,0.0035592321028309302,0.000816233968585638
156.0,0.00329260892946507,0.002744677106771124
157.0,0.0022517983722952876,-0.0008516322538349534
158.0,0.0028285499262949297,-0.0013386638599758051
159.0,0.0007158378818432229,-0.0023693814250518976
160.0,0.0035833733409815186,0.00634401175558215
161.0,0.0006705721041205995,-0.005397144767910288
162.0,-0.0005090689838616683,-0.0015804199771630352
163.0,0.004662466662148674,-0.0006168641454920478
164.0,0.0009517490645780989,-0.00048432967850272365
165.0,-7.956058892282712e-5,-0.00208176312695971
166.0,-0.00023391280376467398,-0.0035993479569609737
167.0,-0.000686190759730735,-0.0018541817442312345
168.0,0.004630706673784749,0.00045672875374266214
169.0,0.00307447742558654,0.0015416177359597447
170.0,0.0017190560015902187,5.876923460035659e-5
171.0,-0.0004926448504121704,-0.00040601237508122403
172.0,0.002314845258565096,-0.0010910106502500434
173.0,0.0018638334078944305,0.0008553201152397274
174.0,0.006123643942506453,0.0018425423723049741
175.0,0.002023137551961393,-0.0034810689288384887
176.0,0.0021388409780111048,-0.0030966040033629737
177.0,0.0017900105065319866,-0.0025759110729961787
178.0,0.001373324640945696,-0.0007057975800894649
179.0,0.0038683569204505082,0.002414542578361965
180.0,0.0014583413749662177,-0.000582492576958963
181.0,0.001426427982509952,-0.0034235022336623192
182.0,0.005942374550376769,0.009069533454873659
183.0,-0.0005769113508586534,-0.0028343690196089167
184.0,0.0007196543791076219,-0.003069930977362061
185.0,0.0018472633711343349,-0.0010210505487387935
186.0,0.003491839000328607,0.0017244143963723898
187.0,0.003841245376296063,-0.0019156832910327205
188.0,0.0037522498124525684,0.0039719047304989374
189.0,8.528808890643201e-5,-0.0018272799056025788
190.0,0.004080754753283131,0.001630421059017155
191.0,0.003645749316358053,0.0014069297526311218
192.0,-0.002796808364712105,-0.007562021088698134
193.0,0.0015830457047670528,-0.0015236510946849398
194.0,0.0023319297348143005,-0.0016037644572808193
195.0,0.0020366420753190947,0.0002656784568949513
196.0,0.002022813442239504,-0.002344041689557833
197.0,0.001181922982005068,-0.00021040173586221725
198.0,-0.00025610821785086035,-0.00542593984807551
199.0,0.0023936767102759327,0.0019299065115321785
200.0,0.0026179846255113305,0.0003496742778634686
201.0,0.0026272197901386616,-0.0019409671632880997
202.0,0.00046602689808996587,-0.0055644902503775885
203.0,0.002445954343035471,0.0017450342711384334
204.0,0.002509006356387904,-0.002331902934388606
205.0,0.003942875034699573,0.0005993103416113534
206.0,0.0025008394803175643,-0.00017661257001819238
207.0,0.0033805860267106962,0.0009969258187452691
208.0,0.0020177480245085326,-0.004826507895221853
209.0,0.003963737629148872,0.00030428205834579896
210.0,0.0009602539873764251,-0.0034076481491373193
211.0,0.0022457042841187496,-0.000588870850279093
212.0,0.0016626480824828386,0.0009594959521555916
213.0,0.0006321910439433506,-0.0008217352342104762
214.0,0.0013922376543680798,-0.004451901060679413
215.0,0.002452275674322512,-0.0011801312310588399
216.0,0.0027872942263098147,0.00202576056213609
217.0,0.0021635851072118587,-0.0023345796114765545
218.0,-0.0003851138645299282,-0.0039882536384943405
219.0,0.005507053963462419,0.002564537823043898
220.0,0.000782462383852236,0.0018218381049687064
221.0,0.0013815705191273604,0.00024447732779480264
222.0,-0.001987753618492227,-0.0039240219433140525
223.0,0.002434338673079949,9.737757012208779e-5
224.0,0.002898654560490166,-0.0018153806004808071
225.0,-0.00019904120114547805,-0.007986600133667603
226.0,0.0022770358891120402,-0.0006546217884526572
227.0,0.002200321980803849,-0.0012025860512384714
228.0,0.002727006217928031,0.0023086281528661087
229.0,3.138611534231174e-5,-0.0004090017796569383
230.0,0.003648878298694387,0.002133963533682145
231.0,0.0025874782458352005,0.0023469471630787587
232.0,0.002799331380892896,-0.0004803041025659608
233.0,0.000608098906305175,-0.0023897331996634665
234.0,0.002264873835297359,-0.0027159127597408636
235.0,-0.0015607306527337273,-0.005398398205449489
236.0,0.0011005474825801398,-0.0014206170866486565
237.0,0.0023880302082874253,0.00076896531222312
238.0,-0.001007956602492278,-0.0032650290941214034
239.0,0.0011441157708293119,0.0002764230732655697
240.0,0.0018009659718942997,-0.005903180200080496
241.0,0.0011752097340156655,-0.0023358464118896317
242.0,-0.0007804542486282635,-0.0062798303844833585
243.0,0.0009593014934564884,-0.0067149297738568784
244.0,0.0008590422161305295,-0.004951073234178927
245.0,0.0002033842810635969,0.0012983327157373374
246.0,0.0017047812494496457,-0.005127194376666652
247.0,0.0002792051642212317,-0.004124936693817102
248.0,0.0033706616764594965,-0.0016933560329565002
249.0,0.0024956812437154034,-0.00118924658669674
250.0,0.0029490105760004064,0.003377952748733645
251.0,0.0007938599151154415,-0.0030211589718527596
252.0,0.001075230722920415,-0.003860410374364071
