irz,r_wo_FGmarg,r_w_FGmarg
1.0,-0.0031626862176980944,-0.0011107149558779287
2.0,-0.0020387501402017593,-0.004740441288455945
3.0,-0.0010812930327049064,-0.0011105292441559774
4.0,-0.0037408306743086706,-0.010654732695520207
5.0,-9.439168469078317e-5,-0.007932143121282076
6.0,-0.0007497537119307964,-0.001427376552688108
7.0,0.0031673618205190052,-0.0067408482976003175
8.0,-0.0035999397668609,-0.001207757355392673
9.0,-0.0003927105693605194,0.007105232988552547
10.0,-3.725066280898198e-5,0.0016370982272784487
11.0,-0.0033191160239189497,0.0019139370689276525
12.0,-0.0005774882862461387,0.0005531621992349416
13.0,-0.0006050650114281571,0.0016883025131326382
14.0,-0.004954148598144439,0.002448872175336151
15.0,-0.0029091041108806124,-0.003546272159079549
16.0,-0.0023897654879291397,-0.0051382977816286255
17.0,-0.0024066252901332897,-0.0030197224312127177
18.0,0.00020113790986306558,0.0016873550599256425
19.0,-0.0025104593825863264,0.0022841210929463525
20.0,0.0016180670366285977,0.0003423402459132198
21.0,-0.001169091788862044,-0.00933866373615245
22.0,0.002350918584017312,0.0007308434376117613
23.0,-0.0006469137404864845,0.0033838174782679616
24.0,0.0036136817172973995,-0.015561991163956162
25.0,0.0010931295654529947,-0.0003125857972085776
26.0,-0.0008964923829570662,-0.010242431994938335
27.0,0.0025631872376797814,0.00856927523838965
28.0,0.0008912546343142045,-0.0038539366374312147
29.0,0.0006722019592828752,0.0025235783529239495
30.0,-0.0038924115293231904,0.0006022141749079267
31.0,0.00053670880627263,0.004837307912718081
32.0,0.0009408081851703932,-0.0034544607451786518
33.0,-0.0034312976593350395,-0.006175511724538019
34.0,-0.00237736081674583,-0.005361023931905626
35.0,2.1415417469266527e-5,0.0020608479445891224
36.0,-0.0016556740468682215,0.0007885848198891453
37.0,0.0010789281017101354,-0.0010311159779202164
38.0,-0.0006763317748952954,-0.0010941459148508664
39.0,-0.0016477388497169348,-0.008865487170996967
40.0,1.5497317984437905e-5,-0.005833474906398894
41.0,-0.002266919421714475,0.005391427817678414
42.0,-0.0002829451865994682,-0.0048639791133633405
43.0,-0.00019083855472455064,0.003941719673096966
44.0,0.0023789400621509354,0.0027623901117415127
45.0,-0.003225795160871468,-0.011027077985107478
46.0,-0.001426692746820327,-0.007311496032522379
47.0,-0.000342679214115173,0.00014990557835329975
48.0,0.0016201594793507242,0.00556077863785234
49.0,0.003579325669607875,0.0028917887352471238
50.0,0.0009009585686928928,0.007050349018391821
51.0,-0.0018508075618383088,-0.006057925412543667
52.0,0.000807091995052663,0.001463755260884849
53.0,-0.0009026036539522558,-0.011308861398461172
54.0,-0.004765005462385427,-0.0004736803963725373
55.0,-0.003591011528883268,-0.0011417697306020799
56.0,0.0003476938712425032,-0.002303863518201318
57.0,0.0007815267444063305,-0.005240123721845081
58.0,0.0032399695668993197,-0.0006735153821570518
59.0,0.0022355592021359853,0.001172142774713492
60.0,0.0023406100898511785,0.005595724099509796
61.0,-0.0015994850606235022,-0.001517229121271021
62.0,-0.0009775271617339708,-0.0047621569268066115
63.0,0.00218163366972913,0.009862891094810826
64.0,0.004606039002501506,0.010750460120594172
65.0,-3.233521161928114e-5,0.0009479718316928337
66.0,-0.0010129675105186836,-0.0006896453987380994
67.0,-0.0035969718255957285,0.0016613072791040603
68.0,-0.003974721619874272,-0.009694091835742775
69.0,0.0006472244139817883,0.00015726667249665015
70.0,0.0017360485278719445,-0.0011767010669030402
71.0,-0.0011173987416993629,-0.009101838588863662
72.0,-0.0011453825201277507,-0.007794000182597541
73.0,-0.001076778212980891,-0.002761651156993867
74.0,0.0001472272001126601,0.0017709864844855346
75.0,0.0021393390054373737,-0.0026320597684292082
76.0,0.002416991284568087,0.002120544910384965
77.0,0.0035426571765157858,0.009964567375258884
78.0,-0.0017289078767599878,-0.008755621936702299
79.0,0.0015451697299371822,-0.006816759152336712
80.0,-0.0031204798949104485,0.0013229568811586145
81.0,0.0019737436493832204,-0.0022288646190954894
82.0,0.0031521992917625426,-0.005045698958109714
83.0,-0.0019991951146152,-0.006011299665608773
84.0,0.0013850087671611114,-0.0004720418378501213
85.0,0.0009421139729651135,0.004982667819820564
86.0,-0.002766894070805626,0.0020959457797817796
87.0,-0.004232160165754763,-0.0012170177816396652
88.0,-0.0015174612475041742,0.00424339278049871
89.0,0.0016812519093950375,-0.0004228844464422036
90.0,-0.0011496311286788943,-1.6230674304731723e-5
91.0,0.0021313563424572197,0.006198560070778336
92.0,0.0011948158680836006,0.0029227791581457993
93.0,-0.0025465975756759447,-0.0054033352932269674
