irz,r_wo_FGmarg,r_w_FGmarg
1.0,-8.613575374390975e-5,0.002345876591765612
2.0,0.0006023389474225444,-0.0033330384812551685
3.0,0.001389799937359473,0.0018357991441445938
4.0,-0.0003439652884631347,-0.006070955335475561
5.0,-0.00023361916714694102,-0.006189613483462623
6.0,0.0009653807125416391,-0.00048704433574669505
7.0,-0.0008419835239991462,-0.0006632181248703884
8.0,-0.0024652220657242173,-0.009392882574401117
9.0,0.0017497042526830188,-0.0005405069122357589
10.0,-0.0002695304429166876,0.0012402130351507003
11.0,-0.0005662937738663023,-0.00865014234822851
12.0,0.0011225749544334818,0.003069317345398865
13.0,6.836874273055004e-5,0.0007664950303100272
14.0,0.00022874562869491113,-0.00132669435419732
15.0,0.0004185758157090215,-0.007140445861786833
16.0,-0.0013105765968616419,0.0010263138370708445
17.0,-0.0018707057087182996,-0.002860281522201925
18.0,0.00030715382963791827,-0.002905626950755139
19.0,0.00029675654511582717,-0.003052672133176188
20.0,0.0016765354034724855,0.000324791717680974
21.0,-0.0024069234483766466,-0.0036856136525447642
22.0,0.0020406342514677324,0.00284907647452384
23.0,-0.0005479794483902374,-0.0023325259735596277
24.0,0.0009035350195146181,0.0033539698290028564
25.0,0.0011952329391956545,-0.00010167432105362877
26.0,-0.0005576917244822286,-0.004476156313340328
27.0,0.004189363137661695,0.002987308834047407
28.0,0.002114419981965971,-0.004655551878262632
29.0,1.570013365656573e-5,3.223721082448475e-5
30.0,-0.0014666522984611821,-0.0016734191654071118
31.0,2.8618056216598724e-5,0.00023498803547249418
32.0,0.00029861134401063633,-0.0031432623350824617
33.0,3.449664035566175e-5,-0.002747264371927419
34.0,0.000916004022928468,-0.0011208750537806413
35.0,0.0016650167496812124,-0.002421654330226463
36.0,0.001392996643675539,-0.0018912451759574025
37.0,0.004098854299907424,0.0039341533748574065
38.0,-0.0016957682666038784,-0.0009201948977303126
39.0,0.0010347240980796706,-0.0008360333236940136
40.0,-0.0010661840788193657,-0.007161362890971856
41.0,0.0007360464361204188,-0.0016370744149426851
42.0,-0.00025303678638582093,-0.0012473145181195163
